iter	Passed	Remaining
0	133	133443
1	135	67847
2	137	45609
3	138	34393
4	138	27651
5	139	23167
6	141	20099
7	143	17738
8	144	15905
9	145	14442
10	147	13256
11	149	12285
12	151	11530
13	153	10779
14	155	10209
15	156	9636
16	158	9140
17	159	8696
18	160	8273
19	161	7902
20	162	7567
21	163	7264
22	164	6984
23	165	6721
24	166	6483
25	168	6309
26	170	6144
27	171	5969
28	173	5812
29	174	5654
30	175	5499
31	176	5349
32	177	5210
33	178	5079
34	179	4957
35	180	4845
36	184	4789
37	184	4682
38	186	4588
39	187	4493
40	188	4401
41	189	4313
42	189	4228
43	190	4149
44	191	4072
45	192	3999
46	193	3931
47	194	3862
48	196	3811
49	197	3757
50	198	3698
51	200	3654
52	201	3599
53	202	3548
54	203	3494
55	204	3443
56	205	3395
57	206	3349
58	207	3303
59	209	3276
60	210	3245
61	211	3206
62	212	3165
63	213	3128
64	214	3089
65	215	3051
66	216	3018
67	217	2985
68	218	2954
69	219	2921
70	220	2891
71	222	2864
72	224	2847
73	225	2822
74	226	2794
75	227	2769
76	228	2742
77	229	2716
78	230	2691
79	233	2686
80	234	2661
81	235	2638
82	236	2616
83	239	2607
84	240	2588
85	241	2571
86	242	2549
87	243	2527
88	244	2505
89	245	2484
90	246	2462
91	247	2441
92	248	2421
93	249	2402
94	250	2383
95	253	2385
96	254	2372
97	256	2358
98	257	2345
99	258	2329
100	259	2312
101	260	2296
102	261	2280
103	262	2264
104	263	2247
105	264	2233
106	267	2233
107	269	2222
108	270	2208
109	271	2194
110	272	2180
111	273	2166
112	274	2152
113	276	2152
114	278	2142
115	281	2145
116	282	2133
117	283	2122
118	285	2115
119	287	2104
120	288	2092
121	288	2079
122	290	2068
123	291	2056
124	293	2054
125	294	2045
126	295	2033
127	296	2021
128	297	2010
129	298	2000
130	300	1990
131	300	1979
132	302	1968
133	303	1958
134	303	1947
135	304	1936
136	305	1926
137	307	1923
138	309	1917
139	310	1908
140	312	1901
141	312	1889
142	313	1879
143	314	1869
144	315	1860
145	316	1850
146	317	1841
147	318	1831
148	319	1822
149	320	1813
150	321	1806
151	322	1800
152	323	1792
153	325	1788
154	326	1780
155	327	1772
156	328	1763
157	329	1755
158	330	1747
159	331	1739
160	332	1730
161	332	1722
162	333	1714
163	334	1706
164	335	1698
165	337	1698
166	339	1693
167	340	1688
168	342	1682
169	343	1676
170	344	1669
171	345	1663
172	346	1656
173	347	1650
174	348	1644
175	349	1637
176	351	1635
177	353	1631
178	354	1625
179	355	1618
180	356	1612
181	357	1606
182	358	1600
183	359	1594
184	360	1587
185	361	1582
186	362	1576
187	363	1571
188	364	1564
189	366	1562
190	367	1557
191	368	1552
192	370	1548
193	372	1545
194	373	1540
195	374	1534
196	375	1528
197	376	1525
198	377	1520
199	378	1515
200	380	1513
201	382	1512
202	384	1507
203	385	1505
204	386	1500
205	388	1496
206	389	1491
207	390	1488
208	392	1484
209	393	1481
210	396	1481
211	398	1482
212	401	1482
213	402	1478
214	404	1475
215	405	1471
216	406	1467
217	408	1465
218	411	1466
219	413	1466
220	415	1464
221	417	1461
222	418	1459
223	420	1455
224	421	1452
225	423	1449
226	425	1447
227	427	1448
228	429	1445
229	431	1443
230	432	1439
231	434	1436
232	435	1433
233	436	1429
234	438	1427
235	441	1428
236	442	1424
237	444	1422
238	445	1419
239	447	1415
240	448	1411
241	449	1407
242	450	1403
243	451	1400
244	453	1396
245	454	1394
246	456	1391
247	457	1388
248	459	1387
249	461	1384
250	462	1379
251	463	1376
252	464	1372
253	465	1368
254	467	1364
255	469	1364
256	472	1365
257	473	1361
258	481	1378
259	485	1382
260	487	1379
261	489	1377
262	490	1374
263	491	1371
264	492	1367
265	494	1363
266	495	1359
267	496	1356
268	498	1353
269	499	1351
270	501	1348
271	502	1345
272	503	1341
273	505	1339
274	506	1335
275	508	1333
276	509	1330
277	510	1326
278	511	1322
279	514	1322
280	516	1320
281	517	1318
282	519	1316
283	521	1315
284	523	1312
285	524	1309
286	525	1306
287	527	1304
288	528	1301
289	531	1301
290	533	1299
291	534	1296
292	536	1294
293	538	1293
294	539	1290
295	541	1287
296	542	1285
297	544	1283
298	546	1281
299	548	1278
300	550	1277
301	551	1275
302	553	1273
303	555	1272
304	558	1272
305	564	1280
306	566	1279
307	569	1278
308	571	1277
309	574	1279
310	576	1276
311	578	1275
312	582	1278
313	585	1280
314	587	1277
315	589	1275
316	591	1273
317	593	1273
318	595	1271
319	597	1269
320	599	1267
321	601	1265
322	604	1267
323	606	1266
324	608	1263
325	610	1262
326	612	1260
327	613	1257
328	616	1256
329	617	1254
330	619	1252
331	620	1249
332	622	1246
333	624	1245
334	626	1244
335	628	1242
336	630	1239
337	631	1237
338	633	1235
339	636	1235
340	639	1236
341	641	1234
342	643	1232
343	645	1230
344	647	1228
345	649	1226
346	651	1225
347	655	1227
348	656	1224
349	660	1225
350	664	1228
351	666	1226
352	668	1225
353	670	1223
354	672	1221
355	674	1219
356	675	1217
357	677	1214
358	679	1212
359	680	1210
360	683	1209
361	685	1207
362	686	1204
363	689	1204
364	691	1202
365	693	1201
366	695	1199
367	697	1198
368	700	1197
369	707	1204
370	711	1206
371	721	1217
372	724	1217
373	728	1218
374	730	1218
375	733	1216
376	736	1217
377	739	1216
378	741	1215
379	743	1213
380	745	1211
381	748	1210
382	750	1208
383	752	1206
384	753	1203
385	755	1201
386	757	1200
387	759	1198
388	761	1196
389	764	1195
390	767	1195
391	770	1195
392	773	1194
393	779	1199
394	783	1199
395	785	1197
396	788	1198
397	790	1196
398	793	1194
399	796	1194
400	798	1192
401	800	1190
402	802	1188
403	804	1186
404	806	1184
405	808	1182
406	809	1179
407	812	1178
408	814	1176
409	817	1175
410	818	1173
411	821	1171
412	824	1171
413	826	1169
414	828	1168
415	832	1168
416	834	1167
417	837	1165
418	839	1163
419	841	1161
420	844	1161
421	847	1160
422	849	1158
423	851	1156
424	853	1155
425	855	1152
426	857	1151
427	860	1149
428	861	1147
429	864	1145
430	866	1143
431	868	1142
432	870	1139
433	872	1137
434	873	1134
435	875	1132
436	877	1130
437	879	1128
438	880	1125
439	882	1123
440	884	1121
441	886	1119
442	889	1118
443	891	1116
444	895	1117
445	899	1117
446	901	1114
447	903	1112
448	904	1110
449	906	1108
450	908	1105
451	909	1103
452	911	1100
453	913	1098
454	916	1097
455	918	1095
456	920	1093
457	922	1091
458	924	1089
459	926	1088
460	929	1086
461	930	1084
462	932	1081
463	934	1079
464	936	1077
465	938	1075
466	943	1076
467	946	1076
468	949	1074
469	951	1072
470	953	1070
471	955	1069
472	957	1067
473	959	1065
474	961	1062
475	963	1060
476	965	1058
477	967	1056
478	971	1056
479	972	1053
480	974	1051
481	977	1050
482	980	1049
483	982	1047
484	984	1045
485	986	1043
486	988	1040
487	990	1038
488	992	1037
489	994	1034
490	995	1032
491	998	1030
492	999	1028
493	1001	1025
494	1003	1023
495	1004	1020
496	1006	1018
497	1008	1016
498	1009	1013
499	1011	1011
500	1013	1009
501	1014	1006
502	1016	1004
503	1017	1001
504	1019	999
505	1021	996
506	1022	994
507	1024	992
508	1025	989
509	1027	987
510	1029	985
511	1031	982
512	1033	980
513	1034	978
514	1036	976
515	1038	973
516	1039	971
517	1042	969
518	1043	967
519	1045	965
520	1047	963
521	1049	960
522	1051	958
523	1052	956
524	1054	954
525	1056	951
526	1057	949
527	1059	947
528	1068	951
529	1070	949
530	1072	947
531	1073	944
532	1075	942
533	1077	940
534	1079	938
535	1080	935
536	1082	933
537	1084	930
538	1086	928
539	1087	926
540	1089	924
541	1091	921
542	1092	919
543	1093	916
544	1095	914
545	1096	911
546	1098	909
547	1100	907
548	1101	905
549	1104	903
550	1105	901
551	1107	898
552	1109	896
553	1110	894
554	1112	892
555	1114	889
556	1116	887
557	1117	885
558	1119	883
559	1121	881
560	1123	879
561	1125	877
562	1127	874
563	1128	872
564	1130	870
565	1131	867
566	1133	865
567	1134	863
568	1136	860
569	1137	858
570	1139	855
571	1140	853
572	1141	850
573	1143	848
574	1144	846
575	1146	844
576	1148	841
577	1149	839
578	1151	837
579	1152	834
580	1155	832
581	1157	831
582	1159	829
583	1161	827
584	1163	825
585	1165	823
586	1166	820
587	1168	818
588	1172	818
589	1175	816
590	1177	814
591	1178	812
592	1180	809
593	1181	807
594	1182	805
595	1184	802
596	1186	800
597	1187	798
598	1188	795
599	1190	793
600	1192	791
601	1194	789
602	1195	787
603	1197	785
604	1199	783
605	1201	780
606	1202	778
607	1204	776
608	1206	774
609	1208	772
610	1209	770
611	1211	768
612	1213	765
613	1214	763
614	1217	762
615	1219	760
616	1222	758
617	1224	756
618	1225	754
619	1227	752
620	1228	750
621	1231	748
622	1232	745
623	1235	744
624	1237	742
625	1239	740
626	1240	738
627	1242	735
628	1243	733
629	1245	731
630	1247	729
631	1250	727
632	1252	726
633	1254	724
634	1256	722
635	1257	719
636	1259	717
637	1261	715
638	1263	713
639	1265	711
640	1267	709
641	1269	707
642	1271	705
643	1273	703
644	1276	702
645	1279	700
646	1280	698
647	1282	696
648	1284	694
649	1286	692
650	1288	690
651	1290	688
652	1292	686
653	1294	684
654	1295	682
655	1297	680
656	1299	678
657	1300	676
658	1302	673
659	1304	672
660	1307	670
661	1309	668
662	1311	666
663	1312	664
664	1315	662
665	1316	660
666	1318	658
